scheme,concept
Mode of survey completion, 
 ,"1, Online "
 ," 2, Phone"
SEX. What sex are you?, 
 ,"1, Male "
 ," 2, Female "
 ," 3, Refused "
 ," 4, Don't know"
"A4. Generally speaking, would you say that most people can be trusted, or that you can’t be too careful in dealing with people?", 
 ,"1, 0 – You can’t be too careful "
 ," 2, 1 "
 ," 3, 2 "
 ," 4, 3 "
 ," 5, 4 "
 ," 6, 5 "
 ," 7, 6 "
 ," 8, 7 "
 ," 9, 8 "
 ," 10, 9 "
 ," 11, 10 – Most people can be trusted "
 ," 12, Refused "
 ," 13, Don't know"
"A3. On a typical day, about how much time do you spend using the internet on a computer, tablet, smartphone or other device, whether for work or personal use? (in minutes)", 
 ,"1, 5 "
 ," 2, 9 "
 ," 3, 10 "
 ," 4, 15 "
 ," 5, 20 "
 ," 6, 30 "
 ," 7, 38 "
 ," 8, 40 "
 ," 9, 45 "
 ," 10, 50 "
 ," 11, 59 "
 ," 12, 60 "
 ," 13, 61 "
 ," 14, 65 "
 ," 15, 70 "
 ," 16, 75 "
 ," 17, 80 "
 ," 18, 90 "
 ," 19, 100 "
 ," 20, 105 "
 ," 21, 120 "
 ," 22, 130 "
 ," 23, 135 "
 ," 24, 140 "
 ," 25, 148 "
 ," 26, 150 "
 ," 27, 152 "
 ," 28, 160 "
 ," 29, 165 "
 ," 30, 180 "
 ," 31, 190 "
 ," 32, 195 "
 ," 33, 197 "
 ," 34, 198 "
 ," 35, 205 "
 ," 36, 210 "
 ," 37, 220 "
 ," 38, 225 "
 ," 39, 230 "
 ," 40, 240 "
 ," 41, 255 "
 ," 42, 260 "
 ," 43, 265 "
 ," 44, 266 "
 ," 45, 270 "
 ," 46, 280 "
 ," 47, 285 "
 ," 48, 294 "
 ," 49, 300 "
 ," 50, 301 "
 ," 51, 311 "
 ," 52, 320 "
 ," 53, 330 "
 ," 54, 335 "
 ," 55, 348 "
 ," 56, 360 "
 ," 57, 371 "
 ," 58, 375 "
 ," 59, 390 "
 ," 60, 400 "
 ," 61, 420 "
 ," 62, 450 "
 ," 63, 465 "
 ," 64, 479 "
 ," 65, 480 "
 ," 66, 488 "
 ," 67, 500 "
 ," 68, 510 "
 ," 69, 525 "
 ," 70, 540 "
 ," 71, 570 "
 ," 72, 600 "
 ," 73, 610 "
 ," 74, 620 "
 ," 75, 630 "
 ," 76, 645 "
 ," 77, 650 "
 ," 78, 660 "
 ," 79, 690 "
 ," 80, 720 "
 ," 81, 750 "
 ," 82, 780 "
 ," 83, 810 "
 ," 84, 840 "
 ," 85, 870 "
 ," 86, 900 "
 ," 87, 930 "
 ," 88, 960 "
 ," 89, 990 "
 ," 90, 1080 "
 ," 91, 1200 "
 ," 92, 1320 "
 ," 93, 1380 "
 ," 94, 1440 "
 ," 95, Refused "
 ," 96, Don't know"
"A2. People can use the internet on different devices such as computers, tablets and smartphones. How often do you use the internet on these or any other devices, whether for work or personal use?", 
 ,"1, Never "
 ," 2, Only occasionally "
 ," 3, A few times a week "
 ," 4, Most days "
 ," 5, Every day "
 ," 6, Refused "
 ," 7, Don't know"
"A1. On a typical day, about how much time do you spend watching, reading, or listening to news about politics and current affairs? (in minutes)", 
 ,"1, 0 "
 ," 2, 1 "
 ," 3, 2 "
 ," 4, 3 "
 ," 5, 5 "
 ," 6, 7 "
 ," 7, 10 "
 ," 8, 15 "
 ," 9, 20 "
 ," 10, 25 "
 ," 11, 30 "
 ," 12, 35 "
 ," 13, 40 "
 ," 14, 45 "
 ," 15, 50 "
 ," 16, 60 "
 ," 17, 61 "
 ," 18, 62 "
 ," 19, 63 "
 ," 20, 65 "
